# Few-shot examples for style_name_system_prompt.txt, tab separated.
#
# Regenerated by:
#   API/.venv/bin/python test_scripts/style_name_bench.py \
#       --data <pairs.jsonl> --limit 160 --seed 7 --dump-examples utils/prompts/style_name_examples.txt
# so the shipped prompt always carries the examples a scored run actually used.
#
# Stored as fields rather than as rendered prompt text on purpose: style_name_service
# renders these through the SAME item_block() the live item goes through, so an edit to
# that function can never leave the examples showing the model a different shape of input.
# .txt rather than .json because .gitignore blanket-ignores *.json, and this is a runtime
# asset the service cannot start without.
#
product_id	o_style	brand	product_type	o_color	o_title	d_style
ACS-MSNK-2075	GEL-KAYANO 20	Asics	Men's Sneakers	BLACK/POND	Asics BLACK/POND GEL-KAYANO 20	GEL-KAYANO 20
RHD-MACC-0017		Rhude	Men's Swim Trunks	Grey	Rhude Grey Bandana Swim Trunks	Bandana Swim Trunks
RTA-MTPS-0002	Jersey	RtA	Men's Jerseys	Bone Navy	RTA-MTPS-0002/L JERSEY_BONE_NAVY_RESALE Multicolor RtA Jersey Size L	Fonda T-shirt
DRM-MFTW-0012	HAIRY SUEDE + MILLED NUBUCK SAN MULE PW	DR. MARTENS	Men's Loafers & Slip-ons	SAND + BUTTERSCOTCH	DR. MARTENS SAND + BUTTERSCOTCH HAIRY SUEDE + MILLED NUBUCK SAN MULE PW	San Patchwork Leather & Nubuck Mules
SP5-MACC-0025	BLACK 3-PACK BOXER BRIEFS	SP5DER	Men's Underwear	Black	SP5DER Black BLACK 3-PACK BOXER BRIEFS	BLACK 3-PACK BOXER BRIEFS
DNT-MBTM-0077	Cotton Wreath Pajama Pant Red	Denim Tears	Men's Track Pants	Red	Denim Tears Red Cotton Wreath Pajama Pant Red	Cotton Wreath Pajama Pants
MDR-MACC-0018	BLUE 3 PACK SOCKS	Murder FM	Men's Socks	Blue	Murder FM Blue BLUE 3 PACK SOCKS	3 Pack Socks
WBR-MBTM-0010	ENERGY TROUSER	Wales Bonner	Men's Dress Pants	BROWN/BLACK	Wales Bonner BROWN/BLACK ENERGY TROUSER	Energy Trousers
AMR-MACC-0197	SHEARLING SLING BAG	Amiri	Men's Messenger Bags	Natural	Amiri Natural SHEARLING SLING BAG	Shearling Sling Bag
DTA-MACC-0006	DETRON	Dita	Men's Sunglasses	BLACK - YELLOW GOLD	DTA-MACC-0006/OS DTS459_A_01 Yellow Dita DETRON Size OS	Detron Sunglasses
